,SOLICITA,FOLIO,FECHA DOCTO,MATERIA,FIRMA,OBSERVACIONES,LINK AL DOCUMENTO,ESTADO
,psp,00133,16-10-2024,"APRUEBA CONVENIO MANDATO PARA LA EJECUCIÓN DEL PROYECTO “CONSERVACIÓN LICEO DE CAMPANARIO, YUNGAY”, Código BIP 40022275-0.",ALICIA CONTRERAS VIELMA,DOC DIGITAL ,https://drive.google.com/drive/folders/1kjCnhwXlcO9yaxWsUOJ36d-fPv1Zv0FC?usp=drive_link,TOMADA DE RAZON
,ahm,00132,10-10-2024,"CRÉESE Y MODIFÍQUESE ASIGNACIONES IDENTIFICATORIAS DE INICIATIVAS DE INVERSIÓN DE ESTUDIOS BÁSICOS Y PROYECTOS DE INVERSIÓN DEL PROGRAMA DE INVERSIÓN REGIONAL REGIÓN XVI”, SUBTÍTULO 31, INICIATIVAS DE INVERSIÓN DE LA REGIÓN DE ÑUBLE AÑO 2024.",ALICIA CONTRERAS VIELMA,DOC DIGITAL ,https://drive.google.com/drive/folders/1DR5MAGbB_e9UeZGknokErHDje1S4hOhI?usp=drive_link,TOMADA DE RAZON
,mqv,00131,07-10-2024,"APRUEBA MODIFICACIÓN DE CONVENIO MANDATO DEL PROYECTO “REPOSICIÓN GIMNASIO MUNICIPAL DE COIHUECO”, CÓDIGO BIP 30002297-0.",ALICIA CONTRERAS VIELMA,DOC DIGITAL ,https://drive.google.com/drive/folders/1mQx_nJThBkRl434KVfa4GxgUhUSWjND6?usp=drive_link,TOMADA DE RAZON
,eja,00130,04-10-2024,"APRUEBA MODIFICACIÓN DE CONVENIO DE TRANSFERENCIA DEL PROYECTO “TRANSFERENCIA PARA EL TURISMO SUSTENTABLE DE MONTAÑA”, CÓDIGO BIP 40032591-0.",ALICIA CONTRERAS VIELMA,DOC DIGITAL ,https://drive.google.com/drive/folders/12ZDsY1o3nZuIJG-1KAORHEOmDGJcwR4S?usp=drive_link,TOMADA DE RAZON
,lpo,00129,04-10-2024,"APRUEBA CONVENIO MANDATO PARA LA EJECUCIÓN DEL PROYECTO “CONSERVACIÓN ESCUELA GLORIAS NAVALES, COMUNA DE NINHUE”, Código BIP 40049791-0",ALICIA CONTRERAS VIELMA,DOC DIGITAL ,https://drive.google.com/drive/folders/1DxrS1X-ZIn-zFwxi0w_BrkWw1xma7Sik?usp=drive_link,TOMADA DE RAZON
,psp,00128,04-10-2024,"APRUEBA CONVENIO MANDATO PARA LA EJECUCIÓN DEL PROYECTO “CONSTRUCCIÓN GIMNASIO MUNICIPAL, COMUNA DE PINTO”, Código BIP 40049141-0.",ALICIA CONTRERAS VIELMA,DOC DIGITAL ,https://drive.google.com/drive/folders/1x90HE1qA-Je61iYJ_Jb6rzjSS037QiQ6?usp=drive_link,TOMADA DE RAZON
,lpo,00127,04-10-2024,DADA DE BAJA ,ALICIA CONTRERAS VIELMA,DOC DIGITAL ,DAR DE BAJA POR ERROR EN DIGITACIÓN  (RE 921),
,lpo,00126,04-10-2024,"APRUEBA CONVENIO MANDATO PARA LA EJECUCIÓN DEL PROYECTO “CONSTRUCCIÓN CANCHA FÚTBOL SECTOR HUALTE, COMUNA DE NINHUE”, Código BIP 40059771-0.",ALICIA CONTRERAS VIELMA,DOC DIGITAL ,https://drive.google.com/file/d/1nKmjs5txMpYP-NvRDq6Zg0Y6ZGfEtN50/view?usp=drive_link,TOMADA DE RAZON
,pnj,00125,04-10-2024,"AUTORIZA AUMENTO DE PLAZO EN LA EJECUCIÓN DEL CONVENIO DE TRANSFERENCIA DE RECURSOS PARA EL PROGRAMA FIC “TRANSFERENCIA GESTIÓN DE CALIDAD DE AGUA PARA RIEGO EN RÍO ÑUBLE”, CÓDIGO BIP 40032584-0. APROBADO POR RESOLUCIÓN AFECTA N.º 56, DE 2021, DEL GOBIERNO REGIONAL DE ÑUBLE.",ALICIA CONTRERAS VIELMA,DOC DIGITAL ,https://drive.google.com/drive/folders/1zDlttPWZ8OIq-9lDRSsvDRD3IlZ5QX9b?usp=drive_link,REPRESENTADA
,lpo,00124,03-10-2024,"APRUEBA CONVENIO MANDATO PARA LA EJECUCIÓN DEL PROYECTO “REPOSICIÓN AVENIDA NUESTRA SEÑORA DEL ROSARIO, COMUNA DE NINHUE”, Código BIP 40054644-0.",ALICIA CONTRERAS VIELMA,DOC DIGITAL ,https://drive.google.com/drive/folders/1eifg0FBm9fHM16AkfMAiofRG4q3utzWh?usp=drive_link,EN TRAMITE
,lpo,00123,03-10-2024,"APRUEBA CONVENIO DE TRANSFERENCIA PARA LA EJECUCIÓN DEL PROGRAMA “TRANSFERENCIA REACTIVACIÓN Y TRANSFORMACIÓN ECONÓMICA DE LAS MIPYMES DE LA REGIÓN DE ÑUBLE”, CÓDIGO BIP 40048669-0.",ALICIA CONTRERAS VIELMA,DOC DIGITAL ,https://drive.google.com/drive/folders/12il4VwksMldQi6Vr-H-C0TbwH9al_KVJ?usp=drive_link,CON ALCANCE
,jbd,00122,03-10-2024,APRUEBA MODIFICACIÓN DE CONVENIO “TRANSFERENCIA TURISMO RURAL PATRIMONIAL VALLE DEL ITATA CÓDIGO BIP 40035947-0.,ALICIA CONTRERAS VIELMA,DOC DIGITAL ,https://drive.google.com/drive/folders/1uyJK7kYFu1l_1J2MV9KLbqT9ydtnieiP?usp=drive_link,TOMADA DE RAZON
,psp,00121,01-10-2024,"APRUEBA CONVENIO MANDATO PARA LA EJECUCIÓN DEL PROYECTO “CONSERVACIÓN VEREDAS POBLACIÓN KENNEDY Y OTROS SECTORES, CHILLÁN”, Código BIP 40038644-0.",ALICIA CONTRERAS VIELMA,DOC DIGITAL ,https://drive.google.com/drive/folders/1u6Pu2CTbl8CFKWclH8VkrbuCLGP6mnl0?usp=drive_link,REPRESENTADA
,psp,00120,26-09-2024,"APRUEBA CONVENIO MANDATO PARA LA EJECUCIÓN DEL PROYECTO “ADQUISICIÓN MAMÓGRAFOS CESFAM VIOLETA PARRA, MICHELL CHANDÍA Y HOSPITAL YUNGAY RED SSÑ”, Código BIP 40055655-0 .",OSCAR CRISOSTOMO LLANOS,DOC DIGITAL ,https://drive.google.com/drive/folders/1VZqCRimyVZD8CQmtOxTsHAdPv6nspma9?usp=drive_link,TOMADA DE RAZON
,psp,00119,26-09-2024,"APRUEBA CONVENIO MANDATO PARA LA EJECUCIÓN DEL PROYECTO “CONSERVACIÓN HOSPITAL HERMINDA MARTÍN DE CHILLÁN”, Código BIP 40026156- 0",OSCAR CRISOSTOMO LLANOS,DOC DIGITAL ,https://drive.google.com/drive/folders/1wEAEoooyKs-UijMLQcdcXmUNz3XUsADY?usp=drive_link,REPRESENTADA
,mqv,00118,26-09-2024,"APRUEBA CONVENIO MANDATO PARA LA EJECUCIÓN DEL PROYECTO “CONSERVACIÓN SALA CUNA Y JARDÍN INFANTIL LOS ENANITOS, SAN NICOLÁS”, Código BIP 40052689-0",OSCAR CRISOSTOMO LLANOS,DOC DIGITAL ,https://drive.google.com/file/d/1cDjJtEsO0VAdWE-OrNLOZHL29pr8qrzJ/view?usp=drive_link,REPRESENTADA
,lpo,00117,26-09-2024,"APRUEBA CONVENIO DE TRANSFERENCIA PARA LA EJECUCIÓN DEL PROGRAMA “TRANSFERENCIA PROGRAMAS ESPECIALES DE FOMENTO PRODUCTIVO PARA LA REGIÓN DE ÑUBLE”, CÓDIGO BIP 40056384-0.",OSCAR CRISOSTOMO LLANOS,DOC DIGITAL ,https://drive.google.com/drive/folders/1ux7o-_e5s3SPoBvi8e8BYs1MW6prSjiZ?usp=drive_link,CON ALCANCE
,psp,00116,26-09-2024,"Aprueba Modificación de Convenio Mandato del Proyecto “CONSTRUCCIÓN LABORATORIOS PARA LA CARRERA DE QUÍMICA Y FARMACIA – UBB REGIÓN DE ÑUBLE”, Código BIP 40048997-0.",OSCAR CRISOSTOMO LLANOS,DOC DIGITAL ,https://drive.google.com/drive/folders/1WdvKq-onBd4dixD0QLNVNNQJ4kXuvrf0?usp=drive_link,TOMADA DE RAZON
,psp,00115,26-09-2024,"MODIFÍQUESE ASIGNACIONES IDENTIFICATORIAS DE INICIATIVAS DE INVERSIÓN DE ESTUDIOS BÁSICOS DEL PROGRAMA DE INVERSIÓN REGIONAL REGIÓN XVI”, SUBTÍTULO 31, INICIATIVAS DE INVERSIÓN DE LA REGIÓN DE ÑUBLE AÑO 2024.",OSCAR CRISOSTOMO LLANOS,DOC DIGITAL ,https://drive.google.com/drive/folders/1mIlx4s2O3yXWbe4te74t-XwGiX1JuOJP?usp=drive_link,EN TRAMITE
,lpo,00114,13-09-2024,"APRUEBA MODIFICACIÓN DE CONVENIO MANDATO DEL PROYECTO “REPOSICIÓN LICEO A-17 COMUNA DE YUNGAY – ETAPA EJECUCIÓN”, CÓDIGO BIP 30386411-0.",OSCAR CRISOSTOMO LLANOS,DOC DIGITAL ,https://drive.google.com/drive/folders/1bpacFu8v1BFGHS2miDEFqUT87sr-Jysu?usp=drive_link,TOMADA DE RAZON
,psp,00113,12-09-2024,"APRUEBA CONVENIO MANDATO PARA LA EJECUCIÓN DEL PROYECTO “CONSERVACIÓN LICEO POLIVALENTE JUAN ARTURO PACHECO ALTAMIRANO, CHILLÁN VIEJO”, Código BIP 40051823-0.",OSCAR CRISOSTOMO LLANOS,DOC DIGITAL ,https://drive.google.com/drive/folders/16oRMEYB5cMr-rscWj536eSvqHQRggeSv?usp=drive_link,TOMADA DE RAZON
,psp,00112,12-09-2024,"APRUEBA CONVENIO DE TRANSFERENCIA DEL PROGRAMA DENOMINADO “TRANSFERENCIA PLATAFORMA INTEROPERABLE, PARA EL MANEJO DE LISTAS DE ESPERA EN ÑUBLE” Código BIP 40058654-0",OSCAR CRISOSTOMO LLANOS,DOC DIGITAL ,https://drive.google.com/drive/folders/1q82Re6M0NO5ipiAe0hfZ_sFM0REXQsE0?usp=drive_link,CON ALCANCE
