legacy_codigo,agreement_number,agreement_id,renderer_org_id,renderer_name,status,confidence,notes,document_count,sample_document_code,sample_source,sample_institucion,auto_candidate_count
2401C0153,,,,CLUB DEPORTIVO SOCIAL Y CULTURAL CABALGADORES EL AMANECER LOURDES,pending,,,1,REN24-2401C0153,RENDICIONES 2024.csv,CLUB DEPORTIVO SOCIAL Y CULTURAL CABALGADORES EL AMANECER LOURDES,0
2401C0154,,,,JUNTA DE VECINOS CALLE ALEGRE,pending,,,1,REN24-2401C0154,RENDICIONES 2024.csv,JUNTA DE VECINOS CALLE ALEGRE,0
2401C0155,,,,TALLER LABORAL SANTA IRMINA,pending,,,1,REN24-2401C0155,RENDICIONES 2024.csv,TALLER LABORAL SANTA IRMINA,0
2401C0156,,,,JUNTA DE VECINOS LOS MAQUIS ALTO,pending,,,1,REN24-2401C0156,RENDICIONES 2024.csv,JUNTA DE VECINOS LOS MAQUIS ALTO,0
2401C0157,,,,UNION COMUNAL DE ADULTOS MAYORES DE QUILLON,pending,,,1,REN24-2401C0157,RENDICIONES 2024.csv,UNION COMUNAL DE ADULTOS MAYORES DE QUILLON,0
2401C0160,,,,JUNTA DE VECINOS BARRIO ALTO,pending,,,1,REN24-2401C0160,RENDICIONES 2024.csv,JUNTA DE VECINOS BARRIO ALTO,0
2401C0161,,,,JUNTA DE VECINOS N°29 PIEDRAS MAULE,pending,,,2,REN24-2401C0161,RENDICIONES 2024.csv,JUNTA DE VECINOS N°29 PIEDRAS MAULE,0
2401C0162,,,,JUNTYA DE VECINOS N°5 SAN BERNARDO,pending,,,1,REN24-2401C0162,RENDICIONES 2024.csv,JUNTYA DE VECINOS N°5 SAN BERNARDO,0
2401C0163,,,,AGRUPACION CULTURAL CON MANOS DE MUJER,pending,,,2,REN24-2401C0163,RENDICIONES 2024.csv,AGRUPACION CULTURAL CON MANOS DE MUJER,0
2401C0164,,,,AGRUPACION ARTISTICA CULTURAL Y DEPORTIVA LICEO POLIVALENTE SAN NICOLAS,pending,,,1,REN24-2401C0164,RENDICIONES 2024.csv,AGRUPACION ARTISTICA CULTURAL Y DEPORTIVA LICEO POLIVALENTE SAN NICOLAS,0
2401C0165,,,,CENTRO GENERAL DE PADRES Y APODERADOS SELVA NEGRA,pending,,,1,REN24-2401C0165,RENDICIONES 2024.csv,CENTRO GENERAL DE PADRES Y APODERADOS SELVA NEGRA,0
2401C0166,,,,CLUB DE HUASOS PULLAY,pending,,,1,REN24-2401C0166,RENDICIONES 2024.csv,CLUB DE HUASOS PULLAY,0
2401C0167,,,,CENTRO DE PADRES Y APODERADOS LICEO MANUEL BULNES,pending,,,2,REN24-2401C0167,RENDICIONES 2024.csv,CENTRO DE PADRES Y APODERADOS LICEO MANUEL BULNES,0
2401C0169,,,,CENTRO DE PADRES Y APODERADOS REINO DE SUECIA,pending,,,1,REN24-2401C0169,RENDICIONES 2024.csv,CENTRO DE PADRES Y APODERADOS REINO DE SUECIA,0
2401C0171,,,,FEDERACION NACIONAL DE ASISTENTES DE LA EDUCACION PUBLICA DE CHILE,pending,,,1,REN24-2401C0171,RENDICIONES 2024.csv,FEDERACION NACIONAL DE ASISTENTES DE LA EDUCACION PUBLICA DE CHILE,0
2401C0172,,,,"CONSEJO PARA LA DIFUSION Y PRACTICA DER LAS ARTES, CULTURA, LA MUSICA Y LAS COMUNICACIONES, MARICHE",pending,,,1,REN24-2401C0172,RENDICIONES 2024.csv,"CONSEJO PARA LA DIFUSION Y PRACTICA DER LAS ARTES, CULTURA, LA MUSICA Y LAS COMUNICACIONES, MARICHE",0
2401C0173,,,,JUNTA DE VECINOS VILLA EL BOSQUE,pending,,,2,REN24-2401C0173,RENDICIONES 2024.csv,JUNTA DE VECINOS VILLA EL BOSQUE,0
2401C0175,,,,AGRUPACION CULTURAL BIBLIOTECA RURAL LAS BANDURRIAS,pending,,,1,REN24-2401C0175,RENDICIONES 2024.csv,AGRUPACION CULTURAL BIBLIOTECA RURAL LAS BANDURRIAS,0
2401C0176,,,,CLUB DE HUASOS EL SEMBRADOR,pending,,,2,REN24-2401C0176,RENDICIONES 2024.csv,CLUB DE HUASOS EL SEMBRADOR,0
2401C0179,,,,CLUB DE HUASOS CHILENOS DE SANTA RITA,pending,,,1,REN24-2401C0179,RENDICIONES 2024.csv,CLUB DE HUASOS CHILENOS DE SANTA RITA,0
2401C0183,,,,BANDA DE GUERRA ESCOLAR AGRUPACION DE PADRES Y APODERADOS,pending,,,1,REN24-2401C0183,RENDICIONES 2024.csv,BANDA DE GUERRA ESCOLAR AGRUPACION DE PADRES Y APODERADOS,0
2401C0196,,,,CLUB DE RAYUELA DOMINGO ORTIZ,pending,,,1,REN24-2401C0196,RENDICIONES 2024.csv,CLUB DE RAYUELA DOMINGO ORTIZ,0
2401C0197,,,,AGRUPACION FOLCLORICA ANDALICAN,pending,,,1,REN24-2401C0197,RENDICIONES 2024.csv,AGRUPACION FOLCLORICA ANDALICAN,0
2401C0199,,,,CLUB DE HUASOS MONTEBLANCO,pending,,,1,REN24-2401C0199,RENDICIONES 2024.csv,CLUB DE HUASOS MONTEBLANCO,0
2401C0200,,,,CLUB DEPORTIVO SOCIAL Y CULTURAL GRUPO ECUESTRE CAMPESINO SAN MIGUEL,pending,,,1,REN24-2401C0200,RENDICIONES 2024.csv,CLUB DEPORTIVO SOCIAL Y CULTURAL GRUPO ECUESTRE CAMPESINO SAN MIGUEL,0
2401C0202,,,,COMITE MERCADO CAMPESINO N°1 DE ÑIQUEN,pending,,,1,REN24-2401C0202,RENDICIONES 2024.csv,COMITE MERCADO CAMPESINO N°1 DE ÑIQUEN,0
2401C0203,,,,"CLUB DE HUASOS PASION Y ALMA CORRALERA DE ÑIPAS, COMUNA DE RANQUIL",pending,,,1,REN24-2401C0203,RENDICIONES 2024.csv,"CLUB DE HUASOS PASION Y ALMA CORRALERA DE ÑIPAS, COMUNA DE RANQUIL",0
2401C0613,,,,COMITE DE ADELANTO Y DESARROLLO LOS PARCELEROS,pending,,,1,REN24-2401C0613,RENDICIONES 2024.csv,COMITE DE ADELANTO Y DESARROLLO LOS PARCELEROS,0
2401C103,,,,CASATEATRO CLUB,pending,,,1,REN24-2401C103,RENDICIONES 2024.csv,CASATEATRO CLUB,0
2401D0001,,,,CLUB DEPORTIVO LA ISLA,pending,,,1,REN24-2401D0001,RENDICIONES 2024.csv,CLUB DEPORTIVO LA ISLA,0
2401D0002,,,,CLUB DEPORTIVO DRAGONES BLANCOS DE CHILLAN,pending,,,1,REN24-2401D0002,RENDICIONES 2024.csv,CLUB DEPORTIVO DRAGONES BLANCOS DE CHILLAN,0
2401D0003,,,,CLUB DE MOUNTAIN BIKE DE NINHUE,pending,,,1,REN24-2401D0003,RENDICIONES 2024.csv,CLUB DE MOUNTAIN BIKE DE NINHUE,0
2401D0004,,,,CLUB DEPORTIVO DE TAEKWONDO PANTERAS NEGRAS DE CHILLAN,pending,,,1,REN24-2401D0004,RENDICIONES 2024.csv,CLUB DEPORTIVO DE TAEKWONDO PANTERAS NEGRAS DE CHILLAN,0
2401D0006,,,,CLUB DEPORTIVO Y CULTURAL SYS TALENT,pending,,,1,REN24-2401D0006,RENDICIONES 2024.csv,CLUB DEPORTIVO Y CULTURAL SYS TALENT,0
2401D0008,,,,CLUB DEPORTIVO GRADO VOCACIONAL,pending,,,1,REN24-2401D0008,RENDICIONES 2024.csv,CLUB DEPORTIVO GRADO VOCACIONAL,0
2401D0009,,,,CLUB DEPORTIVO TORRECILLAS,pending,,,1,REN24-2401D0009,RENDICIONES 2024.csv,CLUB DEPORTIVO TORRECILLAS,0
2401D0011,,,,CLUB DEPORTIVO SOCIAL Y CULTURAL REAL ZARAGOZA,pending,,,1,REN24-2401D0011,RENDICIONES 2024.csv,CLUB DEPORTIVO SOCIAL Y CULTURAL REAL ZARAGOZA,0
2401D0012,,,,CLUB DE RAYUELA SAN MIGUEL,pending,,,1,REN24-2401D0012,RENDICIONES 2024.csv,CLUB DE RAYUELA SAN MIGUEL,0
2401D0013,,,,CLUB DEPORTIVO COBQUECURA,pending,,,1,REN24-2401D0013,RENDICIONES 2024.csv,CLUB DEPORTIVO COBQUECURA,0
2401D0014,,,,CLUB DEPORTIVO SAETURY CHILLAN,pending,,,1,REN24-2401D0014,RENDICIONES 2024.csv,CLUB DEPORTIVO SAETURY CHILLAN,0
2401D0016,,,,CLUB DEPORTIVO Y SOCIAL VIRGINIO ARIAS,pending,,,1,REN24-2401D0016,RENDICIONES 2024.csv,CLUB DEPORTIVO Y SOCIAL VIRGINIO ARIAS,0
2401D0017,,,,CLUB DEPORTIVO TAUCÚ,pending,,,1,REN24-2401D0017,RENDICIONES 2024.csv,CLUB DEPORTIVO TAUCÚ,0
2401D0018,,,,CLUB DEPORTIVO COBRELOA DE NINHUE,pending,,,1,REN24-2401D0018,RENDICIONES 2024.csv,CLUB DEPORTIVO COBRELOA DE NINHUE,0
2401D0019,,,,CLUB DEPORTIVO ÑUBLENSE DE PEMUCO,pending,,,1,REN24-2401D0019,RENDICIONES 2024.csv,CLUB DEPORTIVO ÑUBLENSE DE PEMUCO,0
2401D0022,,,,CLUB DEPORTIVO SAN IGNACIO DE PALOMARES,pending,,,1,REN24-2401D0022,RENDICIONES 2024.csv,CLUB DEPORTIVO SAN IGNACIO DE PALOMARES,0
2401D0023,,,,CLUB DEPORTIVO SAN ANTONIO ABAD,pending,,,1,REN24-2401D0023,RENDICIONES 2024.csv,CLUB DEPORTIVO SAN ANTONIO ABAD,0
2401D0024,,,,CLUB DEPORTIVO LICEO,pending,,,1,REN24-2401D0024,RENDICIONES 2024.csv,CLUB DEPORTIVO LICEO,0
2401D0025,,,,CLUB DEPORTIVO UNION DE LLUANCO,pending,,,1,REN24-2401D0025,RENDICIONES 2024.csv,CLUB DEPORTIVO UNION DE LLUANCO,0
2401D0026,,,,CLUB DEPORTIVO SOCIAL Y CULTURAL AQUAMASTER,pending,,,1,REN24-2401D0026,RENDICIONES 2024.csv,CLUB DEPORTIVO SOCIAL Y CULTURAL AQUAMASTER,0
2401D0031,,,,CLUB DEPORTIVO MILON DE CROTONA,pending,,,1,REN24-2401D0031,RENDICIONES 2024.csv,CLUB DEPORTIVO MILON DE CROTONA,0
2401D0032,,,,CLUB DEPORTIVO SOCIAL Y CULTURAL LA PERGOLA CHILLAN,pending,,,1,REN24-2401D0032,RENDICIONES 2024.csv,CLUB DEPORTIVO SOCIAL Y CULTURAL LA PERGOLA CHILLAN,0
2401D0033,,,,CLUB DEPORTIVO TAEKWONDO QUILLON,pending,,,1,REN24-2401D0033,RENDICIONES 2024.csv,CLUB DEPORTIVO TAEKWONDO QUILLON,0
2401D0035,,,,ASOCIACION DE FUNCIONARIOS ASISTENTES DE EDUCACION DE SAN CARLOS,pending,,,1,REN24-2401D0035,RENDICIONES 2024.csv,ASOCIACION DE FUNCIONARIOS ASISTENTES DE EDUCACION DE SAN CARLOS,0
2401D0036,,,,CLUB TRIATLON QUILLON,pending,,,1,REN24-2401D0036,RENDICIONES 2024.csv,CLUB TRIATLON QUILLON,0
2401D0037,,,,ASOCIACION DEPORTIVA TAEWONDO ÑUBLE REGION,pending,,,1,REN24-2401D0037,RENDICIONES 2024.csv,ASOCIACION DEPORTIVA TAEWONDO ÑUBLE REGION,0
2401D0038,,,,CLUB DEPORTIVO SOCIAL Y CULTURAL UNION DE CATO,pending,,,2,REN24-2401D0038,RENDICIONES 2024.csv,CLUB DEPORTIVO SOCIAL Y CULTURAL UNION DE CATO,0
2401D0039,,,,CLUB DEPORTIVO EL ESFUERZO DE QUIRAO,pending,,,1,REN24-2401D0039,RENDICIONES 2024.csv,CLUB DEPORTIVO EL ESFUERZO DE QUIRAO,0
2401D0040,,,,CLUB DEPOTIVO DE TAEWONDO ESPIRITU INDOMABLE,pending,,,1,REN24-2401D0040,RENDICIONES 2024.csv,CLUB DEPOTIVO DE TAEWONDO ESPIRITU INDOMABLE,0
2401D0041,,,,ASOCIACION DE ARBITROS SAN CARLOS ÑUBLE,pending,,,1,REN24-2401D0041,RENDICIONES 2024.csv,ASOCIACION DE ARBITROS SAN CARLOS ÑUBLE,0
2401D0043,,,,ASOCIACION FUTBOL RURAL SANTA CLARA,pending,,,1,REN24-2401D0043,RENDICIONES 2024.csv,ASOCIACION FUTBOL RURAL SANTA CLARA,0
2401D0047,,,,CLUB DEPORTIVO LAS CANCHAS BUCHUPUREO,pending,,,1,REN24-2401D0047,RENDICIONES 2024.csv,CLUB DEPORTIVO LAS CANCHAS BUCHUPUREO,0
2401D0048,,,,CLUB DEPORTIVO EL CALVARIO,pending,,,1,REN24-2401D0048,RENDICIONES 2024.csv,CLUB DEPORTIVO EL CALVARIO,0
2401D0049,,,,CLUB DEPORIVO REAL BAQUEDANO,pending,,,1,REN24-2401D0049,RENDICIONES 2024.csv,CLUB DEPORIVO REAL BAQUEDANO,0
2401D0050,,,,CLUBATLETICO3 RUNNERS,pending,,,1,REN24-2401D0050,RENDICIONES 2024.csv,CLUBATLETICO3 RUNNERS,0
2401D0051,,,,CLUB DEPORTIVO SANTA JUANA DE LA UNION VECINAL N°8,pending,,,1,REN24-2401D0051,RENDICIONES 2024.csv,CLUB DEPORTIVO SANTA JUANA DE LA UNION VECINAL N°8,0
2401D0052,,,,CUERPO DE ARBITROS NUEVA IMAGEN DE CHILLAN,pending,,,1,REN24-2401D0052,RENDICIONES 2024.csv,CUERPO DE ARBITROS NUEVA IMAGEN DE CHILLAN,0
2401D0053,,,,CLUB DEPORTIVO ALIANZA DE YUNGAY,pending,,,1,REN24-2401D0053,RENDICIONES 2024.csv,CLUB DEPORTIVO ALIANZA DE YUNGAY,0
2401D0054,,,,CLUB DEPORTIVO REAL UNIDO,pending,,,1,REN24-2401D0054,RENDICIONES 2024.csv,CLUB DEPORTIVO REAL UNIDO,0
