source_domain,source_id,source_code,target_domain,target_id,target_code,match_type,confidence
IDIS,dcb5ea58-d7e9-4ec7-bd6c-d1252296c3c5,40029581-2022,IDIS_BIP,dcb5ea58-d7e9-4ec7-bd6c-d1252296c3c5,40029581,NORMALIZED,0.9
IDIS,b3684c14-f7ce-431d-bd09-3439f822f97e,40029677-2021,IDIS_BIP,b3684c14-f7ce-431d-bd09-3439f822f97e,40029677,NORMALIZED,0.9
IDIS,b3684c14-f7ce-431d-bd09-3439f822f97e,40029677-2021,IDIS_BIP,76c43d33-a6bb-4468-88cd-2b74380d2200,40029677,NORMALIZED,0.9
IDIS,76c43d33-a6bb-4468-88cd-2b74380d2200,40029677-2022,IDIS_BIP,b3684c14-f7ce-431d-bd09-3439f822f97e,40029677,NORMALIZED,0.9
IDIS,76c43d33-a6bb-4468-88cd-2b74380d2200,40029677-2022,IDIS_BIP,76c43d33-a6bb-4468-88cd-2b74380d2200,40029677,NORMALIZED,0.9
IDIS,873834ca-75c5-4a67-9476-a4f38ebc2b66,40029813-2021,IDIS_BIP,873834ca-75c5-4a67-9476-a4f38ebc2b66,40029813,NORMALIZED,0.9
IDIS,678b1035-6c53-43e6-9f02-733ae558f3f7,40030099-2021,IDIS_BIP,678b1035-6c53-43e6-9f02-733ae558f3f7,40030099,NORMALIZED,0.9
IDIS,e3d21c20-5fab-4ea0-b61f-11b9c78fa272,40030125-2021,IDIS_BIP,e3d21c20-5fab-4ea0-b61f-11b9c78fa272,40030125,NORMALIZED,0.9
IDIS,92ffa6e0-feda-4dfc-9a69-3f4888fd6d20,40030704-2021,IDIS_BIP,92ffa6e0-feda-4dfc-9a69-3f4888fd6d20,40030704,NORMALIZED,0.9
IDIS,92ffa6e0-feda-4dfc-9a69-3f4888fd6d20,40030704-2021,IDIS_BIP,b84ef5fe-f90d-4dea-829c-d9526add5c6a,40030704,NORMALIZED,0.9
IDIS,b84ef5fe-f90d-4dea-829c-d9526add5c6a,40030704-2023,IDIS_BIP,92ffa6e0-feda-4dfc-9a69-3f4888fd6d20,40030704,NORMALIZED,0.9
IDIS,b84ef5fe-f90d-4dea-829c-d9526add5c6a,40030704-2023,IDIS_BIP,b84ef5fe-f90d-4dea-829c-d9526add5c6a,40030704,NORMALIZED,0.9
IDIS,8e54eae6-b28a-436d-86b7-74609edb777a,40030978-2021,IDIS_BIP,8e54eae6-b28a-436d-86b7-74609edb777a,40030978,NORMALIZED,0.9
IDIS,8e54eae6-b28a-436d-86b7-74609edb777a,40030978-2021,IDIS_BIP,99a72969-c86e-4435-9aa0-c8a750f8e778,40030978,NORMALIZED,0.9
IDIS,99a72969-c86e-4435-9aa0-c8a750f8e778,40030978-2022,IDIS_BIP,8e54eae6-b28a-436d-86b7-74609edb777a,40030978,NORMALIZED,0.9
IDIS,99a72969-c86e-4435-9aa0-c8a750f8e778,40030978-2022,IDIS_BIP,99a72969-c86e-4435-9aa0-c8a750f8e778,40030978,NORMALIZED,0.9
IDIS,f626f73e-550c-413a-af68-cdbe6c3952c1,40031124-2021,IDIS_BIP,f626f73e-550c-413a-af68-cdbe6c3952c1,40031124,NORMALIZED,0.9
IDIS,f626f73e-550c-413a-af68-cdbe6c3952c1,40031124-2021,IDIS_BIP,b0769b77-7ed3-475b-b496-16a7e33dd44e,40031124,NORMALIZED,0.9
