SUBVENCIONES 2024,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CORRELATIVO,TIPO DOCUMENTO,CÓDIGO,FECHA DCTO,FECHA INGRESO,FECHA ENTREGA ,NOMBRE INSTITUCIÓN ,NOMBRE DE LA INICIATIVA,MONTO DE LA RENDICIÓN,RECEPCIONADO POR,FIRMA
33,REND.,2301C0036,29-abr-24,29-abr-24,30-abr-24,CLUB DE CUECA HERNÁN TRONCOSO,ALMA Y FOLCLORE EN LA TIERRA DE NICANOR,"$3,129,280.00",JUAN PARADA,
34,REND.,2301M0015,10-abr-24,29-abr-24,30-abr-24,JJVV PASO ANCHO ,PASO ANCHO CUIDA Y PROTEGE SU MEDIO AMBIENTE,"$2,933,770.00",JUAN PARADA,
35,REND.,2301M0047,10-abr-24,29-abr-24,30-abr-24,COMITÉ DE ADELANTO LOS TORONJILES,POR UN BARRIO MAS LIMPIO ,"$2,439,495.00",JUAN PARADA,
36,REND.,2301M0028,10-abr-24,29-abr-24,30-abr-24,COMITÉ DE ADELANTO TRABUNCURA,NUESTRO ENTORNO LIMPIO Y SEGURO,"$2,349,596.00",JUAN PARADA,
37,REND.,2301EG0043,19-abr-24,29-abr-24,30-abr-24,COMITÉ FEMENINO SANTA TERESITA,ENTRE ENHEBRES Y REMIENDOS DISEÑAMOS EL FUTURO,"$3,150,377.00",JUAN PARADA,
38,REND.,2301EG0105,12-abr-24,29-abr-24,30-abr-24,UNION COMUNAL FEMENINA ,TRENZANDO ANHELOS DE INNOVACION Y ESPERANZA,"$2,830,000.00",JUAN PARADA,
39,REND.,2301EG0047,12-abr-24,29-abr-24,30-abr-24,COMITÉ FEMENINO SOL NACIENTE,SOBRE RETAZOS Y TEXTURAS SE POSA EL SOL NACIENTE ,"$2,981,047.00",JUAN PARADA,
40,REND.,2301EG0035,19-abr-24,29-abr-24,30-abr-24,AGRUPACION DE ARTESANOS EL PUELCHE,AL FRAGOR DEL PUELCHE URDIMOS NUESTROS SUEÑOS,"$2,901,150.00",JUAN PARADA,
41,REND.,2301M0025,10-abr-24,29-abr-24,30-abr-24,JJVV TRABUNCURA,CUIDEMOS NUESTRA TIERRA TODOS SOMOS PARTE DE LA NATURALEZA,"$2,865,429.00",JUAN PARADA,
42,REND.,2301SP0339,30-abr-24,29-abr-24,30-abr-24,COMITÉ PRO ADELANTO VILLA QUILLON,COMITÉ PRO ADELANTO MAS SEGURO,"$4,495,003.00",JUAN PARADA,
43,REND.,2301SP0202,9-abr-24,29-abr-24,30-abr-24,JJVV VALLE TEMPLADO,DUERMO TRANQUILO JUNTO A MI ALARMA VALLE TEMPLADO,"$4,500,003.00",JUAN PARADA,#REF!
44,REND.,2301AM0147,S/F,29-abr-24,30-abr-24,CLUB DE ADULTO MAYOR RENACER,RENACIENDO DE MANERA SALUDABLE,"$1,717,784.00",,
45,REND.,2301AM0185,18-mar-24,29-abr-24,30-abr-24,CLUB ADULTO MAYOR BROTES DE ESPERANZA,RITMOS TRADICIONALES; PASOS QUE UNEN NUESTRAS RAÍCES,"$1,708,344.00",,
46,REND.,2301C0201,26-abr-24,29-abr-24,30-abr-24,CLUB CULTURAL Y DEPORTIVO ARTURO PRAT CHACON,"CUENTOS, HISTORIA Y MITOS DE COIHUECO","$1,800,000.00",,
47,REND.,2301S0067,S/F,29-abr-24,30-abr-24,JJVV ALTO PERALES,RECUPERANDO LA CONVIVENCIA SIN VIOLENCIA,"$2,889,960.00",,
48,REND.,2301EG0016,S/F,29-abr-24,30-abr-24,GRUPO AGROECOLOGICO GOTAS DE AGUA,RECUPERANDO LA AGRICULTURA FAMILIAR,"$2,873,099.00",,
49,REND.,2301EG0055,S/F,29-abr-24,30-abr-24,AGRUPACIÓN DE MUJERES FLOR DE PRIMAVERA,LA PRIMAVERA MAS DULCE EN MEIPO,"$2,794,650.00",,
50,REND.,2301EG0034,S/F,29-abr-24,30-abr-24,COMITÉ AGROECOLOGICO LAS SEMILLITAS,RECUPERANDO EL TEJIDO CON AMOR ,"$2,932,147.00",,
51,REND.,2301EG0037,S/F,29-abr-24,30-abr-24,UNION COMUNAL DE GRUPOS AGROECOLOGICOS,FOMENTANDO LA AGRICULTURA FAMILIAR,"$2,990,858.00",,
52,REND.,2301D0054,30-abr-24,30-abr-24,30-abr-24,CLUB DEPORTIVO DE TAEKWONDO ESPIRITU INDOMABLE DE CHILLAN,CAMPEONATO REGIONAL DE TAEKWONDO,"$1,800,000.00",,
53,REND.,2301C0127,30-abr-24,30-abr-24,30-abr-24,ASOCIACION INDIGENA PETU MONGELEIÑ,RESCATANDO NUESTRA CULTURA EN LANAS,"$2,318,487.00",,
54,REND.,2301SP0160,S/F,29-abr-24,30-abr-24,COMITÉ DE EMERGENCIA Y SOCIAL DE RANGUELMO,PREPARANDO LA COMUNIDAD SIN INCENDIO,"$3,733,960.00",,
55,REND.,2301EG0013,S/F,29-abr-24,30-abr-24,AGRUPACION DE MUJERES SABIAS DE RANGUELMO,MAS SABIDURIA MAS COSTURA,"$2,697,580.00",,
56,REND.,2301C0069,S/F,29-abr-24,30-abr-24,JJVV MEIPO N11,2DA VERSION FIESTA DEL LIMON DE MEIPO Y PANGUE,"$2,500,000.00",,
57,REND.,2301C0138,15-abr-24,29-abr-24,30-abr-24,CLUB DE HUASOS CHILENOS SANTA RITA,CABALGATA DE FE,"$2,483,198.00",,
58,REND.,2301EG0042,24-abr-24,29-abr-24,30-abr-24,MESA DE LA MUJER CAMPESINA DE ÑIQUEN,MUJERES CAMPESINAS DE ÑIQUEN AUTONOMAS,"$2,048,751.00",,
59,REND.,2301AM0092,23-abr-24,29-abr-24,30-abr-24,CLUB ADULTO MAYOR AVANCEMOS UNIDOS DE LA GLORIA,"AVANZANDO UNIDOS, RESCATAMOS NUESTRAS TRADICIONES","$1,879,001.00",,
60,REND.,2301EG0045,23-abr-24,29-abr-24,30-abr-24,ORGANIZACIÓN DE MUJERES LAS FRUTILLAS DE LA GLORIA,FRUTILLITAS AUTONOMAS,"$1,874,879.00",,
61,REND.,2301AM0117,22-abr-24,29-abr-24,30-abr-24,CLUB DE ADULTO MAYOR QUELTEHUE,EMOCIONES POSITIVAS EN EL ADULTO MAYOR,"$1,649,281.00",,
62,REND.,2301AM0104,25-abr-24,29-abr-24,30-abr-24,CLUB DE ADULTO MAYOR FLOR EN PRIMAVERA DE HUENUTIL,"TELARES CON FLORES DE PRIMAVERA, SEGUNDA PARTE","$1,729,951.00",,
63,REND.,2301S0130,29-abr-24,29-abr-24,30-abr-24,FUNDACION YO TE CREO,"APOYO E INCLUSION PARA NIÑOS EN CONDICION TEA, COMUNA DE BULNES","$2,937,500.00",,
64,SUBS.,2301D0040,29-abr-24,29-abr-24,30-abr-24,CLUB DEPORTIVO FEMENINO LAS AGUILAS DE PINTO.,CUADRANGULAR FEMENINO MUJER Y DEPORTE EN ÑUBLE,,,
65,REND.,2301SP0440,29-abr-24,29-abr-24,30-abr-24,COMITÉ DE ADELANTO Y DESARROLLO VILLA OLIMPICA,VILLA OLIMPICA SEGURA ,"$4,456,850.00",FERNANDO RIQUELME ,
66,REND.,2301AM0032,29-abr-24,29-abr-24,30-abr-24,GRUPO DE ADULTO MAYOR RENOVANDO JUVENTUD,TALLER DE MOVILIDAD FISICA E HIDROTERAPIA PARA EL ADULTO MAYOR,"$1,600,991.00",FERNANDO RIQUELME ,
67,REND.,2301D0120,25-abr-24,29-abr-24,30-abr-24,CLUB DEPORTIVO HERNAN BRAÑAS,SEMBRANDO OPORTUNIDADES II,"$2,195,300.00",FERNANDO RIQUELME ,
68,REND.,2301M0029,23-abr-24,29-abr-24,30-abr-24,CENTRO DE PADRES Y APODERADOS ESCUELA EL SAUCE,SEMILLITAS EL SAUCE,"$2,794,762.00",FERNANDO RIQUELME ,
69,REND.,2301D0117,23-abr-24,29-abr-24,30-abr-24,CLUB DEPORTIVO EL MOLINO,ESCUELA DE FUTBOL PARA NIÑOS DE JOVENES DE LA COMUNA DE COBQUECURA,"$2,365,480.00",FERNANDO RIQUELME ,
70,REND.,2301D0183,23-abr-24,29-abr-24,30-abr-24,CLUB DEPORTIVO NACIONAL DE CATO,EL CLUB DEPORTIVO CATO PROMUEVE E INCENTIVA LA PARTICIPACION EN EL CAMPEONATO DE FUTBOL RURAL 2023,"$1,800,001.00",FERNANDO RIQUELME ,
71,REND.,2301D0288,22-abr-24,29-abr-24,30-abr-24,CLUB DEPORTIVO SOCIAL Y CULTURAL COMUNIDAD INTEGRADA,PRIMER ENCUENTRO DE FUTBOL COIHUECO 2023,"$3,000,001.00",FERNANDO RIQUELME ,
72,REND.,2301D0295,19-abr-24,29-abr-24,30-abr-24,CONSEJO LOCAL DE DEPORTES DE CHILLAN,EL COLODEP CHILLAN PROMUEVE Y FORTALECE LA ACTIVIDAD FISICA A TRAVES DE LA NATACION,"$3,996,000.00",FERNANDO RIQUELME ,
73,REND.,2301D0136,29-abr-24,29-abr-24,30-abr-24,CLUB DEPORTIVO AEROBICAS LAS VENCEDORAS,AL RITMO DE LA ZUMBA LAS VENCEDORAS MEJORAN SU CALIDAD DE VIDA,"$1,792,861.00",FERNANDO RIQUELME ,
74,REND.,2301SP0268,29-abr-24,29-abr-24,30-abr-24,JJVV VILLA DOÑA FRANCISCA LAS MARIPOSAS,INSTALACION DE CAMARAS DE VIGILANCIA PARA LA VILLA DOÑA FRANCISCA 1 Y 2,"$4,446,999.00",FERNANDO RIQUELME ,
75,REND.,2301SP0553,24-abr-24,29-abr-24,30-abr-24,JJVV CLAUDIO ARRAU,TODOS UNIDOS Y PROTEGIDOS ,"$4,499,995.00",FERNANDO RIQUELME ,
76,REND.,2301AM0155,10-abr-24,29-abr-24,30-abr-24,CLUB ADULTOS MAYORES LOS COPIHUES,NUNCA ES TARDE PARA VIAJAR Y SANAR,"$1,769,000.00",FERNANDO RIQUELME ,
77,REND.,2301AM0227,26-abr-24,29-abr-24,30-abr-24,CLUB ADULTO MAYOR SOL NACIENTE,TERAPIAS FISICAS Y EMOCIONALES,"$1,932,500.00",FERNANDO RIQUELME ,
78,REND.,2301C0155,26-abr-24,29-abr-24,30-abr-24,AGRUPACION FOLCLORICA ANDALICAN,BAILANDO Y DANZANDO CON ANDALICAN,"$3,450,001.00",FERNANDO RIQUELME ,
79,REND.,2301AM0073,16-abr-24,29-abr-24,30-abr-24,CLUB ADULTO MAYOR TRES ESQUINAS,VIAJANDO SANAMENTE,"$1,509,688.00",FERNANDO RIQUELME ,
80,REND.,2301AM0110,16-abr-24,29-abr-24,30-abr-24,GRUPO ADULTO MAYOR LAS VIOLETAS,MANOS CREATIVAS,"$1,959,450.00",FERNANDO RIQUELME ,
81,REND.,2301SP0455,29-abr-24,29-abr-24,30-abr-24,JJVV PABLO NERUDA,"POR UN BARRIO SEGURO, OCUPA TU ALARMA","$4,185,000.00",FERNANDO RIQUELME ,
82,REND.,2301SP0444,S/F,29-abr-24,30-abr-24,JJVV POBLACION BARTOLUCCI,CUIDANDO A NUESTROS VECINOS Y VECINAS,"$4,446,999.00",FERNANDO RIQUELME ,
