SEGUIMIENTO EJECUCIÓN ASIGNACIONES DIRECTAS ,,,,,,,,,,,,,,,,,,
N°,REFERENTE UCR,CÓDIGO,NOMBRE INICIATIVA,UNIDAD EJECUTORA,AÑO INICIO EJECUCIÓN,"ESTADO DE LA INICIATIVA (En Ejecución, ejecutada, terminada)",ESTADO DE LA RENDICIÓN,REFERENTE TÉCNICO,NUMERO Y FECHA DE LA RESOLUCIÓN QUE NOMBRA EL RF,DIVISIÓN,MONTO TRANSFERIDO,FECHA DE LA TRANSFERENCIA,MONTO RENDIDO,MONTO REINTEGRADO,TOTAL RENDIDO,SALDO,% RENDIDO A LA FECHA,OBSERVACIONES
25,FERNANDO RIQUELME,2301ADNCS003,CONFERENCIA LATINOAMERICANA Y EL CARIBE CHILLÁN,COPELEC,2023,TERMINADA,APROBADA,ANDRÉS LAVANDEROS,1238/30-11-2023,DIDESOH,$ 7.000.000,,$ -,$ -,$ -,"$7,000,000","0,00%",Iniciativa cerrada técnica y financieramente
26,FERNANDO RIQUELME,2303ADCC09,CUMBRE GUACHACA DE ÑUBLE 2023,SERNATUR,2023,TERMINADA,APROBADA,ANDRÉS LAVANDEROS,1275/13-12-2023,DIDESOH,$ 25.480.000,,$ 25.480.000,$ -,"$25,480,000",$ -,"100,00%",Iniciativa cerrada técnica y financieramente
27,FERNANDO RIQUELME,2301ADCD013,NACIONAL JUVENIL DE FÚTBOL AMATEUR ÑUBLE 2024,ASOCIACIÓN DEPORTIVA DE FÚTBOL AMATEUR CHILLÁN,2023,TERMINADA,EN REVISIÓN TÉCNICA,CÉSAR NAVARRETE,1270/13-12-2023,DIDESOH,$ 214.791.881,,$ -,$ -,$ -,"$214,791,881","0,00%",Organización se encuentra subsanando ultimas observaciones en la plataforma SISREC 19112025
28,FERNANDO RIQUELME,2301ADNCC011,LA CULTURA VIVE EN TU BARRIO,CORPORACIÓN SOCIAL Y CULTURAL ARTE Y VIDA DE COELEMU,2023,TERMINADA,EN REVISIÓN TÉCNICA,CÉSAR NAVARRETE,1366/29-12-2023,DIDESOH,$ 230.000.000,,$ -,$ -,$ -,"$230,000,000","0,00%",Referente tecinico se encuentra revisando ultimas subsanaciones en plataforma SISREC para dar termino al cierre de la iniciativa 19112025
29,FERNANDO RIQUELME,2301ADCD015,EL CLUB DEPORTIVO EL LUCERO SE PREPARA PARA REPRESENTAR A LA REGIÓN DE ÑUBLE,CLUB DEPORTIVO EL LUCERO,2023,TERMINADA,APROBADA,ANDRÉS LAVANDEROS,1314/22-12-2023,DIDESOH,$ 5.000.000,,$ 4.999.999,$1.00,"$5,000,000",$ -,"100,00%",Iniciativa cerrada técnica y financieramente
30,FERNANDO RIQUELME,2301ADNCC09,"SEMANA DE LA CHILENIDAD Y TRADICIONES, CATO 2023",ASOCIACIÓN DE CRIADORES DE CABALLOS DE RAZA CHILENA,2023,TERMINADA,EN REVISIÓN UCR,ANDRÉS LAVANDEROS,1326/22-12-2023,DIDESOH,$ 30.000.000,,$ -,$ -,$ -,"$30,000,000","0,00%","Rendición con cierre técnico aprobado el  11-02-2025, enviada a la UCR. Revision financiera finalizada, organizacion debe reintegrar $76.720 (Andres hacer seguimiento en la UCR)"
31,FERNANDO RIQUELME,2301ADCC010,CINE EN TU COMUNA: 5° FESTIVAL DE CIINE NACIONAL DE ÑUBLE,ASOCIACIÓN ÑUBLE AUDIOVISUAL,2023,TERMINADA,APROBADA,ANDRÉS LAVANDEROS,1360/28-12-2023,DIDESOH,$ 15.000.000,,$ -,$ -,$ -,"$15,000,000","0,00%",Iniciativa cerrada técnica y financieramente
33,MARCO BUSTAMANTE,CVC-AD-9,REVISTA CUEQUERA,ASOCIACIÓN ARTISTICA CULTURAL QUILLECO,2024,TERMINADA,EN REVISIÓN UCR,ANDRÉS LAVANDEROS,759/17-09-2024,DIDESOH,$ 4.141.700,,$ -,$ -,$ -,"$4,141,700","0,00%",PASAR A COMISION
34,MARCO BUSTAMANTE,CVC-AD-4,ENCUENTRO INTERNACIONAL DE MUJERES RURALES REGION DE ÑUBLE 2024,FUNDACION PRODEMU,2024,TERMINADA,APROBADA,GABRIELA TOLEDO,646/21-08-2024,DIDESOH,$ 30.000.000,,$ 30.000.000,$ -,"$30,000,000",,"100,00%",Iniciativa cerrada técnica y financieramente
35,MARCO BUSTAMANTE,CVC-AD-23-1,PROGRAMACIÓN ARTÍSTICA DIVERSA PARA FOMENTAR PARTICIPACIÓN DE LA COMUNIDAD,MUNICIPALIDAD DE SAN CARLOS,2024,TERMINADA,APROBADA,ABRAHAM ABURTO,760/17-09-2024,DIDESOH,$ 18.000.000,,$ -,$ -,$ -,"$18,000,000","0,00%","Iniciativa cerrada técnica y financieramente
"
